offset,rounder,x,valor real,valor aproximado,error %
1.0,1.0,1.25,0.9489846193555862,0.8,15.699371340365357
1.0,1.0,1.75,0.9839859468739369,1.025,4.168154357931851
1.0,1.0,2.25,0.7780731968879212,0.8500000000000001,9.244220646562086
1.0,1.0,2.75,0.3816609920523317,0.5500000000000003,44.1069460733851
1.0,1.0,3.5,-0.35078322768961984,-0.25,28.730914061488395
1.0,1.0,4.25,-0.8949893582285835,-1.0250000000000004,14.526501413239338
1.0,1.0,4.75,-0.999292788975378,-0.9000000000000001,9.936305962658595
1.0,1.0,5.25,-0.858934493426592,-1.1,28.065645100793766
1.0,1.0,5.75,-0.5082790774992583,-0.625,22.963943956735474
1.0,1.0,6.25,-0.03317921654755682,0.22499999999999964,778.1353612659904
1.0,1.0,6.75,0.4500440737806176,0.5499999999999998,22.21025273807018
1.0,1.0,7.25,0.8230808790115055,1.0250000000000004,24.532111744716197
1.0,1.0,7.75,0.9945987791111761,1.3499999999999996,35.73312458782908
1.0,1.0,8.25,0.9226042102393402,1.0250000000000001,11.098560858951267
1.0,1.0,8.75,0.6247239537541924,0.5,19.96465046756748
1.0,1.0,9.25,0.17388948538043356,0.0,100.0
1.0,1.0,9.75,-0.31951919362227366,-0.5500000000000007,72.1336342161012
1.0,1.0,10.25,-0.7346984304047954,-0.42499999999999893,42.15313625131369
1.0,1.0,10.75,-0.9699978679206785,-1.3249999999999993,36.59823838997871
1.0,1.0,11.25,-0.9678079975112615,-0.6499999999999999,32.8379180920711
1.0,1.0,11.75,-0.72866497582717,-1.35,85.2703292713499
1.0,1.0,12.25,-0.3111193549811273,-0.125,59.82249320117593
1.0,1.0,12.75,0.182599134631134,-0.32500000000000107,277.98550943657483
1.0,1.0,13.25,0.6316109877182386,1.0500000000000007,66.2415664732554
1.0,1.0,14.0,0.9906073556948704,1.6000000000000014,61.51707241035649
1.0,1.0,14.75,0.8180217634546941,0.4750000000000001,41.933085252650756
1.0,1.0,15.25,0.4421221685765394,0.049999999999998934,88.69090863256656
1.0,1.0,15.75,-0.04202435271884079,-0.1750000000000007,316.4252122354353
1.0,1.0,16.25,-0.5158818468181093,-0.75,45.38212666832538
1.0,1.0,16.75,-0.8634334728079056,-0.09999999999999964,88.41833179401797
1.0,1.0,17.25,-0.9995864713592172,-1.125,12.546541218214774
1.0,1.0,17.75,-0.8910058399248534,-0.5,43.88364502277903
1.0,1.0,18.25,-0.5642759039618552,-1.5,165.82740632167756
1.0,1.0,18.75,-0.09939154689884817,-0.5,403.06088958335187
1.0,1.0,19.25,0.3898273272463786,0.6499999999999986,66.74049112754625
1.0,1.0,19.75,0.7836028759783553,0.5750000000000028,26.620994176151353
1.0,1.0,20.25,0.9855251115651197,0.75,23.898438385915963
1.0,1.0,20.75,0.9461564284508708,1.7500000000000004,84.9588447932708
1.0,1.0,21.25,0.675135653292801,1.2249999999999996,81.44501686814736
1.0,1.0,21.75,0.23881812402958275,0.9749999999999996,308.26047183890654
1.0,1.0,22.25,-0.25597041106933305,-1.1499999999999986,349.2706774958085
1.0,1.0,22.75,-0.6880884622582969,-1.75,154.32776394135777
1.0,1.0,23.25,-0.9517384599623535,-0.5749999999999993,39.58424250053489
1.0,1.0,23.75,-0.9823696896284233,-1.0250000000000004,4.339538446844972
1.0,1.0,24.25,-0.7724825579327705,-0.4499999999999993,41.74625752013899
1.0,1.0,24.75,-0.3734647547841147,-1.1500000000000004,207.92731717475456
1.0,1.0,25.25,0.11699024537436405,-0.375,420.53954481419817
1.0,1.0,25.75,0.5788019532877502,1.0500000000000007,81.40920120184795
1.0,1.0,26.25,0.8989027566124672,0.8000000000000007,11.002609112601178
1.0,1.0,26.75,0.9989208147888241,0.20000000000000107,79.97839297779755
1.0,1.0,27.25,0.8543682189235223,2.2,157.5002149274621
1.0,1.0,27.75,0.500636485932415,0.9250000000000007,84.76479960848756
1.0,1.0,28.25,0.02433148087720227,-1.125,4723.63966121801
1.0,1.0,28.75,-0.45793071928681145,-0.75,63.780233212583305
1.0,1.0,29.25,-0.8280755084772445,-1.5249999999999986,84.16194953094734
1.0,1.0,29.75,-0.9954785330494551,-2.4499999999999975,146.1127908499341
1.0,1.0,30.25,-0.9191536942035773,-1.2250000000000003,33.274773057560395
1.0,1.0,30.75,-0.617787974410896,-0.3999999999999986,35.25286723468087
1.0,1.0,31.25,-0.165166212373579,0.5,402.725353336239
1.0,1.0,31.75,0.3278939988258263,1.0500000000000007,220.22543985556416
1.0,1.0,32.25,0.740674323409674,-0.37499999999999645,150.62953961650706
1.0,1.0,32.75,0.9721117417027341,2.224999999999998,128.88315247614707
1.0,1.0,33.25,0.9655423020447212,-0.04999999999999982,105.17843701866975
1.0,1.0,33.75,0.722574432381135,-0.625,186.49627941309893
1.0,1.0,34.25,0.30269514100631545,-0.17499999999999716,157.81394422725336
1.0,1.0,34.75,-0.1912944777489552,1.3249999999999993,792.6493726279227
1.0,1.0,35.25,-0.6384485367231334,-1.6499999999999986,158.43899783508
1.0,1.0,35.75,-0.929288127236339,-2.400000000000002,158.26220411719817
1.0,1.0,36.25,-0.9926055741456128,-2.3000000000000007,131.7133874630646
1.0,1.0,36.75,-0.8128985581744033,-1.6249999999999996,99.90194147341126
1.0,1.0,37.25,-0.4341656243337532,0.34999999999999787,180.61439699126083
1.0,1.0,37.75,0.050866196399306694,0.375,637.2283098508054
1.0,1.0,38.25,0.523444198233198,0.9500000000000028,81.49021485128226
1.0,1.0,38.75,0.8678648045849774,-0.6999999999999993,180.65772414111748
